Name                                                                                                                                                                              Stmts   Miss  Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C:\Users\danie\source\repos\evennia\evennia\__init__.py                                                                                                                             188     24    87%
C:\Users\danie\source\repos\evennia\evennia\__main__.py                                                                                                                              24      4    83%
C:\Users\danie\source\repos\evennia\evennia\accounts\__init__.py                                                                                                                      0      0   100%
C:\Users\danie\source\repos\evennia\evennia\accounts\accounts.py                                                                                                                    604    101    83%
C:\Users\danie\source\repos\evennia\evennia\accounts\bots.py                                                                                                                        280    220    21%
C:\Users\danie\source\repos\evennia\evennia\accounts\manager.py                                                                                                                      80     19    76%
C:\Users\danie\source\repos\evennia\evennia\accounts\migrations\0001_initial.py                                                                                                       6      0   100%
C:\Users\danie\source\repos\evennia\evennia\accounts\migrations\0002_move_defaults.py                                                                                                 9      2    78%
C:\Users\danie\source\repos\evennia\evennia\accounts\migrations\0003_auto_20150209_2234.py                                                                                            4      0   100%
C:\Users\danie\source\repos\evennia\evennia\accounts\migrations\0004_auto_20150403_2339.py                                                                                            6      0   100%
C:\Users\danie\source\repos\evennia\evennia\accounts\migrations\0005_auto_20160905_0902.py                                                                                            5      0   100%
C:\Users\danie\source\repos\evennia\evennia\accounts\migrations\0006_auto_20170606_1731.py                                                                                            5      0   100%
C:\Users\danie\source\repos\evennia\evennia\accounts\migrations\0007_copy_player_to_account.py                                                                                       24     13    46%
C:\Users\danie\source\repos\evennia\evennia\accounts\migrations\0008_auto_20190128_1820.py                                                                                            6      0   100%
C:\Users\danie\source\repos\evennia\evennia\accounts\migrations\0009_auto_20191025_0831.py                                                                                            4      0   100%
C:\Users\danie\source\repos\evennia\evennia\accounts\migrations\0010_auto_20210520_2137.py                                                                                            5      0   100%
C:\Users\danie\source\repos\evennia\evennia\accounts\migrations\0011_convert_contrib_typeclass_paths.py                                                                              34     25    26%
C:\Users\danie\source\repos\evennia\evennia\accounts\migrations\0012_defaultaccount_alter_accountdb_id_account_bot_and_more.py                                                        4      0   100%
C:\Users\danie\source\repos\evennia\evennia\accounts\migrations\__init__.py                                                                                                           0      0   100%
C:\Users\danie\source\repos\evennia\evennia\accounts\models.py                                                                                                                       55      9    84%
C:\Users\danie\source\repos\evennia\evennia\accounts\tests.py                                                                                                                       243      2    99%
C:\Users\danie\source\repos\evennia\evennia\commands\__init__.py                                                                                                                      1      0   100%
C:\Users\danie\source\repos\evennia\evennia\commands\cmdhandler.py                                                                                                                  291     69    76%
C:\Users\danie\source\repos\evennia\evennia\commands\cmdparser.py                                                                                                                    59     16    73%
C:\Users\danie\source\repos\evennia\evennia\commands\cmdset.py                                                                                                                      191     27    86%
C:\Users\danie\source\repos\evennia\evennia\commands\cmdsethandler.py                                                                                                               261    101    61%
C:\Users\danie\source\repos\evennia\evennia\commands\command.py                                                                                                                     237     81    66%
C:\Users\danie\source\repos\evennia\evennia\commands\default\__init__.py                                                                                                              0      0   100%
C:\Users\danie\source\repos\evennia\evennia\commands\default\account.py                                                                                                             452    186    59%
C:\Users\danie\source\repos\evennia\evennia\commands\default\admin.py                                                                                                               289    155    46%
C:\Users\danie\source\repos\evennia\evennia\commands\default\batchprocess.py                                                                                                        393    219    44%
C:\Users\danie\source\repos\evennia\evennia\commands\default\building.py                                                                                                           2128    434    80%
C:\Users\danie\source\repos\evennia\evennia\commands\default\cmdset_account.py                                                                                                       33      0   100%
C:\Users\danie\source\repos\evennia\evennia\commands\default\cmdset_character.py                                                                                                     63      0   100%
C:\Users\danie\source\repos\evennia\evennia\commands\default\cmdset_session.py                                                                                                        7      0   100%
C:\Users\danie\source\repos\evennia\evennia\commands\default\cmdset_unloggedin.py                                                                                                    14      0   100%
C:\Users\danie\source\repos\evennia\evennia\commands\default\comms.py                                                                                                               849    390    54%
C:\Users\danie\source\repos\evennia\evennia\commands\default\general.py                                                                                                             354    133    62%
C:\Users\danie\source\repos\evennia\evennia\commands\default\help.py                                                                                                                367    118    68%
C:\Users\danie\source\repos\evennia\evennia\commands\default\muxcommand.py                                                                                                          113     33    71%
C:\Users\danie\source\repos\evennia\evennia\commands\default\syscommands.py                                                                                                          22      0   100%
C:\Users\danie\source\repos\evennia\evennia\commands\default\system.py                                                                                                              533    265    50%
C:\Users\danie\source\repos\evennia\evennia\commands\default\tests.py                                                                                                               871      2    99%
C:\Users\danie\source\repos\evennia\evennia\commands\default\unloggedin.py                                                                                                          198    134    32%
C:\Users\danie\source\repos\evennia\evennia\commands\tests.py                                                                                                                       767      3    99%
C:\Users\danie\source\repos\evennia\evennia\comms\__init__.py                                                                                                                         0      0   100%
C:\Users\danie\source\repos\evennia\evennia\comms\comms.py                                                                                                                          247     49    80%
C:\Users\danie\source\repos\evennia\evennia\comms\managers.py                                                                                                                       182    101    45%
C:\Users\danie\source\repos\evennia\evennia\comms\migrations\0001_initial.py                                                                                                          4      0   100%
C:\Users\danie\source\repos\evennia\evennia\comms\migrations\0002_msg_db_hide_from_objects.py                                                                                         4      0   100%
C:\Users\danie\source\repos\evennia\evennia\comms\migrations\0003_auto_20140917_0756.py                                                                                               5      0   100%
C:\Users\danie\source\repos\evennia\evennia\comms\migrations\0004_auto_20150118_1631.py                                                                                               9      2    78%
C:\Users\danie\source\repos\evennia\evennia\comms\migrations\0005_auto_20150223_1517.py                                                                                              11      3    73%
C:\Users\danie\source\repos\evennia\evennia\comms\migrations\0006_channeldb_db_object_subscriptions.py                                                                                4      0   100%
